count2019, Source_Name, RA_(J2000), Dec_(J2000), Vsys_(km/s), Lum, Class
1,NGC_23,2.473333333,25.92305555,4565,180,?
2,NGC_17,2.777083333,-12.1072222,5931,<10,?
3,J0011-0054,2.938333333,-0.90861111,14384,527,?
4,J0027+4544,6.855416666,45.74083333,12003,507,?
5,IC10,5.074583333,59.30861111,-350,0.02,SF
6,M31,10.68333333,41.26916666,-300,?,SF
7,NGC_235A,10.71999999,-23.5411111,6664,?,?
8,NGC_253,11.88791666,-25.2883333,241,0.2,SF?
9,Mrk_348,12.19625,31.95694444,4507,400,J
10,SMC,13.18749999,-72.8286111,158,?,SF
11,NGC_291,13.37458333,-8.76777777,5705,74,?
12,ESO_013-G012,16.75916666,-80.3077777,5047,500,?
13,J0109-0332,17.43791666,-3.54244444,16369,?,?
14,Mrk_1,19.02999999,33.08944444,4780,50,D?
15,NGC_520,21.14612499,3.792416666,2281,1,SF?
16,J0126-0417,21.50691666,-4.29894444,5639,112,D?
17,M33,23.31874999,30.88055555,-180,0.3,SF
18,NGC_591,23.37999999,35.66833333,4547,25,D?
19,NGC_613,23.57583333,-29.4186111,1475,20,?
20,IC_0184,29.96333333,-6.84027777,5287,?,?
21,J0214-0016,33.52458333,-0.27694444,11205,74,?
22,Mrk_1029,34.26487499,5.292055555,9076,682,D?
23,NGC_1052,40.26999999,-8.25583333,1470,125,J
24,NGC_1068,40.66958333,-0.01333333,1137,160,D+J
25,NGC_1106,42.66879166,41.67149999,4337,8,?
26,J0253-0014,43.37333333,-0.23488888,8622,4,?
27,Mrk_1066,44.99416666,36.82055555,3605,32,?
28,NGC_1194,45.95462499,-1.10372222,4076,112,D
29,NGC_1320,51.20291666,-3.04222222,2663,43,D?
30,J0336-0750,54.19233333,-7.83988888,11719,183,?
31,NGC_1386,54.19333333,-36.0005555,868,125,D+?
32,J0338+0114,54.54333333,1.238333333,11926,?,?
33,NGC_1402,54.8775,-18.5269444,4297,47,?
34,IC_342,56.69291666,68.09611111,40,0.01,SF
35,IRAS_03450+0055,56.91708333,1.087222222,9294,67,?
36,J0350-0127,57.50145833,-1.46602777,12376,3870,D?
37,J0414+0534,63.65737499,5.578444444,z=2.64,10000,?
38,J0437+2456,69.26529166,24.93522222,4835,178,D
39,J0437+6637,69.28441666,66.62841666,3770,20,D?
40,IRAS+04385-0828,70.22904166,-8.37283333,4527,43,?
41,UGC_3157,71.624,18.46091666,4619,?,?
42,UGC_3193,73.21958333,3.056666666,4454,270,?
43,Mrk_1089,75.40733333,-4.25788888,4019,15,?
44,CGCG468-002_Ned01,77.08204166,17.36336111,5248,35,?
45,UGC+3255,77.45916666,7.483333333,5669,16,?
46,LMC,80.89166666,-69.7561111,278,?,SF
47,UGCA_116,88.92762499,3.392166666,789,3,SF?
48,Mrk_3,93.90124999,71.0375,4050,10,?
49,NGC_2146,94.65249999,78.35777777,900,1,SF
50,VII_Zw 073,97.60666666,63.67805555,11899,?,?
51,NGC_2273,102.5362499,60.84583333,1840,32,D
52,ESO558-G009,106.0875833,-21.5886666,7674,766,D
53,UGC_3789,109.8816666,59.35583333,3243,370,D
54,NGC_2410,113.7591666,32.82222222,4681,14,?
55,Mrk_78,115.6737499,65.17694444,11137,32,?
56,IC_485,120.0823749,26.70144444,8338,1060,D?
57,Mrk_1210,121.0241666,5.113888888,4046,80,D?
58,J0804+3607,121.1291666,36.12166666,z=0.66,23000,?
59,He_2-10,129.06375,-26.4083333,?,0.7,SF
60,J0836+3327,129.095,33.46083333,14810,800,D?
61,NGC 2639,130.9087499,50.20555555,3336,25,?
62,J0847-0022,131.9487499,-0.38094444,15275,?,?
63,CGCG120-039,132.3086666,23.38027777,7684,?,?
64,J0905+0328,136.3755416,3.473000000,8424,?,?
65,NGC_2781,137.8646666,-14.8168333,2053,14,?
66,J0912+2304,138.1932499,23.07425,10889,143,?
67,NGC_2782,138.5212499,40.11361111,2562,13,SF
68,NGC_2785,138.8142083,40.91752777,2622,?,?
69,NGC_2824,139.7591666,26.27,2760,500,?
70,SBS0927+493,142.7779166,49.07972222,10240,?,?
71,UGC_5101,143.9649999,61.35305555,11809,1900,?
72,Mrk_1419,145.1516666,3.576944444,4932,400,D
73,NGC_2979,145.7858333,-10.3833333,2720,125,?
74,NGC_2989,146.3575,-18.3766666,4172,40,?
75,M_82,148.9674999,69.67972222,200,1,SF
76,NGC_3081,149.8729166,-22.8263888,2391,17,?
77,NGC_3079,150.4908333,55.67972222,1125,500,?
78,J1011-1926,152.9607499,-19.4455277,8058,371,?
79,NGC_3160,153.4794583,38.84283333,6920,46,?
80,IC_2560,154.0779166,-33.5638888,2925,100,D
81,J1020-0010,155.248125,-0.17608333,16779,?,?
82,NGC_3256,156.9637499,-43.9038888,2804,10,SF?
83,J1028+1046,157.0119166,10.77533333,13424,1135,?
84,UGC_5713,157.9119583,25.98397222,6312,237,?
85,Mrk_34,158.5358333,60.03111111,15140,1000,?
86,NGC_3359,161.6533333,63.22361111,1014,0.7,?
87,NGC_3393,162.0975,-25.1619444,3750,320,D
88,UGC_6093,165.1998333,10.72813888,10828,770,D
89,J1103-0052,165.9098333,-0.86902777,8584,26,?
90,J1109+2837,167.3881249,28.62763888,11422,36,?
91,NGC_3556,167.8791666,55.67416666,699,1,?
92,NGC_3620,169.0195833,-76.2163888,1680,4,SF?
93,CGCG_185-028,169.2504999,32.59738888,10455,550,?
94,NGC_3614,169.5888333,45.74822222,2333,3,?
95,Arp_299,172.1329166,58.5625,3121,125,?
96,NGC_3735,173.98875,70.53583333,2696,20,?
97,CGCG_068-013,174.5333749,11.19638888,10707,92,?
98,NGC_3783,174.7570833,-37.7386111,2917,22,?
99,CGCG_268-089,177.4404166,50.52694444,7924,149,?
100,IC_750,179.7174999,42.72252777,704,?,?
101,NGC_4038/39,180.4791666,-18.8827777,?,8,SF
102,J1202+3519,180.5192499,35.32169444,10201,520,?
103,UGC_7016,180.5999166,14.84363888,7271,22,?
104,NGC_4051,180.79,44.53138888,700,2,?
105,NGC_4151,182.6358333,39.40583333,995,0.6,?
106,NGC_4194,183.5395833,54.52694444,2501,12,?
107,NGC_4214,183.9133333,36.32777777,?,0.03,SF
108,NGC_4253,184.6104583,29.81286111,3876,9,?
109,NGC_4258,184.7395833,47.30388888,448,80,D
110,NGC_4261,184.8466666,5.825277777,2238,?,?
111,NGC_4293,185.3037499,18.3825,890,1,?
112,NGC_4388,186.4445833,12.66222222,2524,12,D
113,NGC_4527,188.5354166,2.653805555,1736,4,?
114,NGC_4633,190.6558333,14.35722222,291,0.06,?
115,J1255-0804,193.9994166,-8.076,4003,226,?
116,ESO_269-G012,194.16875,-46.9261111,4950,1000,D?
117,NGC_4922,195.355,29.31388888,7056,200,?
118,NGC_4945,196.3645833,-49.4683333,560,50,D+
119,NGC_4968,196.7749166,-23.6770277,2957,53,?
120,NGC_5077,199.8820833,-12.6569444,2806,?,?
121,NGC_5128,201.3649999,-43.0191666,547,?,?
122,M_51,202.4695833,47.19527777,463,0.6,?
123,NGC_5256,204.5716666,48.27555555,8419,32,?
124,NGC_5253,204.9824999,-31.6388888,?,0.02,SF
125,J1346+5228,206.6699583,52.47691666,8763,379,D?
126,NGC_5347,208.3241666,33.49083333,2335,32,?
127,J1355+0553,208.899625,5.884638888,11762,86,?
128,MCG+11-17-010,209.1195833,64.62861111,9456,34,?
129,J1356+6937,209.1975,69.61999999,10522,?,?
130,CGCG_074-064,210.7685833,8.9475,6886,?,?
131,ESO_446-G018,212.1594999,-29.5720277,4771,183,?
132,UGC_9077,212.7312499,39.77213888,5630,?,?
133,NGC_5495,213.0970833,-27.1080555,6737,600,D
134,Circinus,213.28875,-65.3391666,450,20,D+
135,NGC_5506,213.3116666,-3.2075,1853,50,?
136,MCG-02-37-004,216.5512499,-11.9047222,12439,?,?
137,NGC_5643,218.1699999,-44.1747222,1199,25,?
138,NGC_5691,219.4720833,-0.39888888,1870,4,SF
139,NGC_5728,220.5995833,-17.2530555,2788,80,?
140,CGCG_164-019,221.4033333,27.03472222,8963,30,?
141,NGC_5765b,222.7145833,5.114444444,8333,?,D
142,UGC_9618B,224.2529166,24.6175,10094,400,D?
143,UGC_9639,224.6499999,44.88361111,10802,444,D?
144,NGC_5793,224.8529166,-16.6933333,3491,200,?
145,J1505+0809,226.3246666,8.153611111,11760,?,?
146,CGCG165-035,228.6657916,26.59416666,9649,?,?
147,J1520+5253,230.0819583,52.89908333,11166,44,?
148,Arp_220,233.7383333,23.50305555,5434,?,?
149,UGC_9954,234.8195833,24.455,10310,30,?
150,IRAS_15480-0344,237.6729166,-3.88833333,9084,211,?
151,J1600+1545,240.0742916,15.75652777,4996,?,?
152,J1607+0106,241.7664166,1.108138888,8216,6,?
153,J1630+3923,247.6358333,39.38416666,9161,?,?
154,CGCG_168-018,247.6704999,30.48877777,11015,192,?
155,IGR_J16385-2057,249.6287499,-20.9233333,8064,10,?
156,NGC_6240,253.2454166,2.400833333,7465,40,?
157,NGC_6264,254.3170833,27.84972222,10177,2100,D
158,J1658+3923,254.5645833,39.39138888,10290,672,?
159,J1710+1344,257.5754166,13.735,9448,69,?
160,NGC_6323,258.3249999,43.78222222,7772,500,D
161,NGC_6300,259.2479166,-62.8205555,1110,3,?
162,CGCG_252-044,260.1232499,50.37713888,7360,?,?
163,CGCG_170-022,260.73575,31.34197222,4543,?,?
164,J1754+3253,268.6224999,32.88722222,7798,?,?
165,ESO_103-G35,279.5845833,-65.4283333,3985,400,?
166,J1939-0124,294.9120833,-1.40916666,6188,160,D?
167,3C403,298.0658333,2.506666666,17690,2000,J
168,NGC_6926,308.2754166,-2.0275,5970,500,?
169,J2057+1707,314.3495833,17.1275,10822,?,?
170,UGC_11685,317.2974999,-1.79858333,5872,80,?
171,IC_1361,317.8712499,5.054333333,3962,35,?
172,J2144+1534,326.2387083,15.58055555,9138,189,?
173,J2201-3746,330.3212499,-37.7733333,9661,?,?
174,TXS_2226-184,337.3020833,-18.1797222,7495,6300,?
175,UGC_12149,340.2816666,32.16988888,7317,?,?
176,NGC_7479,346.2360416,12.32288888,2381,19,?
177,IC_1481,349.8545833,5.906111111,6120,320,?
178,MCG+05-55-041,354.3185416,31.80072222,9356,93,?
179,NGC_7738,356.0083333,0.516666666,6762,468,?
180,CGCG498-038,358.9341666,30.21222222,9240,268,?
